,Country,Marriage duration (years)
9,India,7.577441077441078
2,China,7.752136752136752
27,Uganda,8.18989898989899
1,Bulgaria,8.803921568627452
16,Pakistan,10.263358778625957
15,Nigeria ,10.391201353637904
0,Brazil ,10.537768537767153
14,Mexico,11.723214285714286
6,Ghana,11.994336569572814
20,Saudi Arabia,12.331658291457286
8,Hungary,12.583050847457626
12,Kazakhstan,13.0
13,Malaysia,13.474747474747474
19,Russia,13.770535714285714
22,South Korea,15.06
10,Iran ,15.276490066225165
17,Poland ,16.335585585585587
25,Turkey ,16.637851662404092
4,Estonia,16.969
5,Germany,17.67722772277228
3,Croatia,18.083469721767592
21,Slovakia,18.356223175965667
23,Spain ,19.37286432160804
26,U.K.,19.51010101010101
7,HongKong,20.298787878787877
18,Portugal,20.81423487544484
24,Switzerland,21.71511627906977
11,Italy,24.651898734177216
